Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
C9,111-84-2,FS5ms,98.04,30.17,89.34,0.001,Leppert2020b,alkane,alkanes,
C10,124-18-5,FS5ms,118.09,32.24,112.49,0.001,Leppert2020b,alkane,Grob,alkanes
C11,1120-21-4,FS5ms,137.07,33.71,116.04,0.001,Leppert2020b,alkane,Grob,alkanes
C12,112-40-3,FS5ms,154.78,34.92,121.44,0.001,Leppert2020b,alkane,alkanes,
C13,629-50-5,FS5ms,171.32,35.93,125.62,0.001,Leppert2020b,alkane,alkanes,
C14,629-59-4,FS5ms,186.83,36.76,126.76,0.001,Leppert2020b,alkane,alkanes,
C15,629-62-9,FS5ms,201.25,37.39,129.62,0.001,Leppert2020b,alkane,alkanes,
C16,544-76-3,FS5ms,215.1,38.46,142.18,0.001,Leppert2020b,alkane,alkanes,
C17,629-78-7,FS5ms,227.91,38.95,145.36,0.001,Leppert2020b,alkane,alkanes,
C18,593-45-3,FS5ms,240.1,39.58,153.29,0.001,Leppert2020b,alkane,alkanes,
C19,629-92-5,FS5ms,251.8,40.21,159.47,0.001,Leppert2020b,alkane,alkanes,
C20,112-95-8,FS5ms,262.81,40.67,164.99,0.001,Leppert2020b,alkane,alkanes,
C21,629-94-7,FS5ms,273.39,41.43,179.47,0.001,Leppert2020b,alkane,alkanes,
C22,629-97-0,FS5ms,283.55,41.89,183.35,0.001,Leppert2020b,alkane,alkanes,
C23,638-67-5,FS5ms,293.11,42.25,188.99,0.001,Leppert2020b,alkane,alkanes,
C24,646-31-1,FS5ms,302.05,42.21,188.53,0.001,Leppert2020b,alkane,alkanes,
C25,629-99-2,FS5ms,310.67,42.26,189.51,0.001,Leppert2020b,alkane,alkanes,
C26,630-1-3,FS5ms,320.42,44.16,216.77,0.001,Leppert2020b,alkane,,
C27,593-49-7,FS5ms,326.62,41.9,184.17,0.001,Leppert2020b,alkane,alkanes,
C28,630-2-4,FS5ms,334.19,41.82,183.91,0.001,Leppert2020b,alkane,,
C29,630-3-5,FS5ms,341.4,41.67,183.07,0.001,Leppert2020b,alkane,,
C30,638-68-6,FS5ms,348.39,41.57,183.28,0.001,Leppert2020b,alkane,alkanes,